Indicator_Trend,Detailed_Indicator_Trend,Unit,OECD_Country,Value,Year,Comparison_to_OECD_average,Labels (multiple graphs only)
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Portugal,67.6,2012,similar,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Austria,68,2012,similar,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Czech Republic,70.3,2012,similar,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Norway,73.1,2012,similar,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Canada,79.8,2012,similar,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Sweden,80.4,2012,similar,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Israel,80.5,2012,similar,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Switzerland,83.1,2012,similar,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,New Zealand,85,2012,similar,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Australia,86,2012,similar,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,France,89.7,2012,similar,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Italy,91.3,2012,similar,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Ireland,92.3,2012,similar,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,United States,92.9,2012,worse,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Iceland,96.3,2012,worse,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Netherlands,99,2012,worse,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Denmark,105,2012,worse,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Belgium,111.9,2012,worse,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Finland,89.4,2012,similar,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Germany,91.6,2012,similar,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Japan,51.5,2012,similar,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Luxembourg,89.1,2012,similar,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Poland,51.9,2012,similar,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Slovenia,66.5,2012,similar,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,United Kingdom,95,2012,worse,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,OECD,71.2,2012,similar,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Netherlands,2,2019,better,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Japan,4,2019,better,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Iceland,5,2019,better,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Denmark,5,2019,better,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Norway,5,2019,better,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Belgium,5,2019,better,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Spain,5,2019,better,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Portugal,5,2019,better,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Sweden,6,2019,similar,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Finland,6,2019,similar,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Germany,6,2019,similar,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Slovenia,7,2019,similar,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Switzerland,7,2019,similar,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,France,7,2019,similar,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Austria,7,2019,similar,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Luxembourg,7,2019,similar,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Hungary,7,2019,similar,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Greece,8,2019,similar,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Chile,8,2019,similar,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Italy,8,2019,similar,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Czech Republic,8,2019,similar,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Estonia,8,2019,similar,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Poland,8,2019,similar,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Costa Rica,9,2019,similar,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Ireland,9,2019,similar,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Mexico,9,2019,similar,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Turkey,9,2019,similar,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Slovak Republic,9,2019,similar,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Canada,9,2019,similar,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Lithuania,10,2019,similar,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,United States,10,2019,similar,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,United Kingdom,11,2019,worse,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Latvia,11,2019,worse,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Colombia,12,2019,worse,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,New Zealand,15,2019,worse,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,Australia,13,2019,worse,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,percent,OECD,7.8,--,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Mexico,140.4,2020,better,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Chile,189.9,2020,better,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Colombia,182.3,2020,better,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Costa Rica,188.7,2020,better,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Turkey,231.5,2020,better,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Israel,240.7,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Korea,242.7,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Austria,255.7,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Portugal,261.8,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Greece,264.7,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Iceland,265.1,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Poland,267.3,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Finland,271.2,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Spain,277.2,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Estonia,278.5,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Japan,285.1,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Sweden,288.6,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Luxembourg,291.9,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Czech Republic,292.6,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Italy,292.6,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Lithuania,293.4,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Slovak Republic,296.8,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Latvia,301.5,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Slovenia,309,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Germany,313.2,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Switzerland,317.6,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,United Kingdom,319.9,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Norway,327.5,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Hungary,338.2,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,France,341.9,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Canada,348,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Belgium,349.2,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Netherlands,349.6,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Denmark,351.1,2020,similar,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,United States,362.2,2020,worse,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Ireland,372.8,2020,worse,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,New Zealand,422.9,2020,worse,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,Australia,452.4,2020,worse,
CANCER CASES,"Rate of all newly diagnosed cancer cases, total population, per 100,000 (age-standardized)",rate_per_100K,OECD,293.9,2020,similar,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Mexico,125.9,2020,better,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Colombia,165.7,2020,better,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Turkey,154.1,2019,better,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Korea,160.2,2020,better,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Costa Rica,160.4,2020,better,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Switzerland,167.6,2020,better,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Japan,174.8,2020,similar,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Israel,176.8,2020,similar,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,United States,182.2,2020,similar,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Finland,181,2020,similar,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Luxembourg,171.4,2021,similar,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Spain,184.4,2021,similar,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Australia,190.6,2021,similar,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Sweden,188.9,2018,similar,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Iceland,186.3,2021,similar,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Chile,181.9,2020,similar,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Austria,191.9,2021,similar,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Belgium,196.9,2018,similar,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Canada,200.3,2019,similar,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Italy,205.2,2017,similar,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Germany,206.2,2020,similar,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Norway,206.8,2016,similar,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Greece,207.8,2020,similar,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,France,209.5,2017,similar,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Portugal,210.9,2019,similar,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Netherlands,217.2,2020,similar,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,New Zealand,221.2,2016,similar,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,United Kingdom,221.8,2020,similar,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Estonia,228.1,2021,similar,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Czech Republic,220.9,2021,similar,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Ireland,233.7,2018,worse,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Denmark,231.1,2020,similar,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Lithuania,226,2021,similar,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Poland,240.4,2020,worse,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Slovenia,247.7,2020,worse,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Slovak Republic,252.9,2019,worse,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Latvia,245.8,2021,worse,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,Hungary,286.4,2019,worse,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",rate_per_100K_population,OECD,201.6,--,similar,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Hungary,4895.506,2023,worse,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Slovenia,4431.46,2023,worse,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Czech Republic,4079.192,2023,worse,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Slovak Republic,3750.717,2023,worse,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Greece,3571.411,2023,worse,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Lithuania,3523.562,2023,better,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Latvia,3447.43,2023,similar,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,United Kingdom,3366.547,2023,similar,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,United States,3331.912,2023,similar,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Italy,3230.253,2023,similar,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Chile,3140.524,2023,similar,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Poland,3001.319,2023,similar,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Belgium,2948.201,2023,similar,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Colombia,2752.707,2023,similar,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Mexico,2621.688,2023,similar,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Portugal,2617.6,2023,similar,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Spain,2557.307,2023,similar,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,France,2535.41,2023,similar,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Austria,2519.459,2023,similar,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Sweden,2319.669,2023,similar,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Estonia,2263.088,2023,similar,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Germany,2095.374,2023,similar,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_per_100K_persons,Luxembourg,1902.406,2023,similar,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Costa Rica,1811.291,2023,similar,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Ireland,1797.294,2023,similar,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Finland,1784.237,2023,similar,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Switzerland,1604.147,2023,similar,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Denmark,1486.504,2023,similar,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Canada,1373.161,2023,similar,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Israel,1328.924,2023,similar,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Netherlands,1309.04,2023,similar,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Turkey,1188.394,2023,better,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Norway,1024.23,2023,better,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Australia,821.701,2023,better,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Iceland,697.232,2023,better,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,Japan,602.606,2023,better,
COVID-19 DEATHS,"COVID-19 death rate per 100,000 population per year",total_deaths_per_1M,New Zealand,593.41,2023,better,
